Category: All categories

Month,coccidioidomycosis: (Phoenix AZ)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,72
2004-08,63
2004-09,0
2004-10,0
2004-11,66
2004-12,0
2005-01,51
2005-02,0
2005-03,45
2005-04,100
2005-05,45
2005-06,45
2005-07,44
2005-08,0
2005-09,39
2005-10,0
2005-11,37
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,28
2006-06,0
2006-07,0
2006-08,0
2006-09,49
2006-10,23
2006-11,0
2006-12,0
2007-01,20
2007-02,0
2007-03,0
2007-04,0
2007-05,18
2007-06,0
2007-07,18
2007-08,0
2007-09,34
2007-10,16
2007-11,0
2007-12,0
2008-01,14
2008-02,30
2008-03,14
2008-04,0
2008-05,14
2008-06,15
2008-07,0
2008-08,14
2008-09,14
2008-10,13
2008-11,21
2008-12,14
2009-01,26
2009-02,28
2009-03,0
2009-04,12
2009-05,0
2009-06,13
2009-07,26
2009-08,12
2009-09,25
2009-10,35
2009-11,13
2009-12,12
2010-01,35
2010-02,24
2010-03,34
2010-04,34
2010-05,24
2010-06,51
2010-07,24
2010-08,11
2010-09,23
2010-10,33
2010-11,44
2010-12,22
2011-01,19
2011-02,23
2011-03,21
2011-04,15
2011-05,17
2011-06,16
2011-07,30
2011-08,18
2011-09,12
2011-10,23
2011-11,20
2011-12,19
2012-01,13
2012-02,11
2012-03,10
2012-04,10
2012-05,13
2012-06,14
2012-07,10
2012-08,17
2012-09,9
2012-10,18
2012-11,29
2012-12,11
2013-01,28
2013-02,9
2013-03,9
2013-04,11
2013-05,18
2013-06,7
2013-07,13
2013-08,8
2013-09,11
2013-10,13
2013-11,9
2013-12,12
2014-01,5
2014-02,10
2014-03,17
2014-04,9
2014-05,11
2014-06,11
2014-07,11
2014-08,9
2014-09,11
2014-10,25
2014-11,11
2014-12,11
2015-01,12
2015-02,13
2015-03,18
2015-04,13
2015-05,8
2015-06,13
2015-07,13
2015-08,10
2015-09,10
2015-10,21
2015-11,8
2015-12,12
2016-01,20
2016-02,11
2016-03,8
2016-04,10
2016-05,10
2016-06,11
2016-07,13
2016-08,7
2016-09,7
2016-10,9
2016-11,3
2016-12,11
2017-01,11
2017-02,13
2017-03,7
2017-04,17
2017-05,9
2017-06,10
2017-07,15
2017-08,12
2017-09,16
2017-10,6
2017-11,10
2017-12,12
2018-01,13
2018-02,6
2018-03,10
2018-04,14
2018-05,7
2018-06,15
2018-07,18
2018-08,7
2018-09,7
2018-10,16
2018-11,18
2018-12,9
2019-01,8
2019-02,7
2019-03,18
2019-04,6
2019-05,10
2019-06,11
2019-07,5
