Date,valley fever,DiseaseIncidence,symptoms,cancer symptoms,pregnancy,pregnancy symptoms,flu,flu symptoms,valley fever symptoms,symptoms of valley fever,valley fever symptoms in dogs,valley fever in dogs,symptoms of valley fever in dogs,what are the symptoms of valley fever,valley fever in dogs symptoms,symptoms of lyme disease,symptoms of mono,what is valley fever,valley fever treatment,treatment for valley fever,valley fever test,valley fever contagious,is valley fever contagious,valley fever rash,valley fever in humans,valley fever symptoms in humans,fluconazole,fluconazole for dogs,fluconazole side effects,fluconazole 150mg,fluconazole 150 mg,valley metro,metro valley bus,bus,metro bus,valley metro routes,phoenix valley metro,hay fever,hay fever symptoms
1/2/2011 0:00,24,1,80,50,95,73,69,66,13,24,100,42,99,0,0,0,36,0,0,0,0,39,0,35,0,0,0,0,54,0,0,54,21,68,43,39,32,52,0
1/9/2011 0:00,28,1,87,46,89,58,70,63,5,0,0,28,0,0,0,0,34,49,51,0,53,0,0,0,0,0,35,0,52,0,0,53,10,67,26,0,52,51,0
1/16/2011 0:00,17,1,90,60,84,72,68,76,15,23,33,0,0,0,49,100,47,49,0,0,0,39,49,35,0,0,71,0,0,100,0,73,31,72,47,38,37,52,100
1/23/2011 0:00,21,0,93,60,91,86,73,57,10,23,32,27,0,0,32,48,79,48,0,0,53,37,0,0,0,0,34,0,0,0,0,71,26,65,46,37,57,0,0
1/30/2011 0:00,31,0,84,58,94,64,72,92,0,22,45,64,0,0,60,69,43,0,32,0,0,36,0,0,0,0,0,0,0,0,0,52,31,68,32,0,29,48,92
2/6/2011 0:00,35,0,90,57,98,78,79,77,21,22,0,27,0,0,0,0,44,46,33,50,52,0,47,0,0,0,67,51,51,0,0,64,10,50,37,37,45,50,0
2/13/2011 0:00,29,0,93,69,87,89,100,100,7,22,31,53,93,0,31,0,100,46,100,100,51,55,0,0,0,0,83,0,50,0,0,60,19,68,37,36,30,0,0
2/20/2011 0:00,33,0,80,49,84,71,84,61,28,22,62,26,0,0,31,0,44,46,33,50,51,55,46,0,0,0,33,0,0,0,0,63,22,66,30,36,50,49,0
2/27/2011 0:00,26,0,78,53,98,68,70,71,21,22,0,26,92,0,31,47,55,0,33,0,51,0,46,0,0,0,33,0,50,0,0,62,32,72,50,35,59,0,0
3/6/2011 0:00,27,0,73,51,85,65,41,60,12,22,93,79,0,0,92,46,55,46,49,0,0,0,0,33,47,0,67,50,50,0,0,48,32,66,37,0,25,97,0
3/13/2011 0:00,23,0,70,62,90,61,47,36,10,0,0,0,0,0,0,0,48,51,36,0,56,0,0,36,0,0,55,0,0,0,100,63,21,68,49,39,49,53,0
3/20/2011 0:00,31,0,80,66,85,39,37,42,20,32,30,25,0,88,30,0,32,67,0,0,0,35,0,0,0,45,64,48,0,0,0,55,15,58,33,0,24,47,91
3/27/2011 0:00,24,1,81,65,92,75,44,21,9,21,0,0,0,0,0,0,21,43,31,0,0,0,0,31,0,0,94,47,47,0,0,56,27,64,33,0,37,46,89
4/3/2011 0:00,24,0,87,36,93,64,38,26,13,21,29,74,87,87,0,45,63,44,32,0,0,0,0,31,44,44,32,0,0,0,0,61,55,75,42,34,24,46,0
4/10/2011 0:00,17,0,80,51,84,59,40,38,9,22,0,26,93,0,0,0,44,0,33,50,0,0,92,0,0,0,67,49,0,0,0,53,39,75,47,36,15,97,0
4/17/2011 0:00,25,1,84,61,90,77,23,38,14,22,0,26,0,0,0,0,66,46,33,50,0,36,0,0,0,46,33,49,0,0,0,56,32,73,35,35,45,48,94
4/24/2011 0:00,28,0,81,43,95,76,31,0,9,0,0,26,0,0,30,0,65,0,33,49,0,0,0,0,0,0,33,0,49,0,0,48,22,69,56,0,34,0,0
5/1/2011 0:00,22,0,75,34,94,76,23,21,9,21,0,25,0,0,0,45,53,44,31,47,0,35,44,0,0,0,0,0,0,0,0,62,33,76,57,0,43,92,0
5/8/2011 0:00,26,0,79,34,96,61,30,0,23,42,30,25,0,0,29,45,31,44,31,47,0,0,0,0,0,0,47,0,48,0,0,58,27,69,59,34,33,0,0
5/15/2011 0:00,13,0,77,55,87,91,42,39,25,0,27,23,0,0,27,83,0,0,0,0,0,32,0,0,0,0,59,0,0,0,0,59,20,80,51,32,27,43,0
5/22/2011 0:00,22,1,83,34,90,82,39,16,7,0,59,25,0,0,29,0,53,0,47,0,0,0,0,0,0,0,79,48,0,0,0,56,30,82,57,34,62,0,0
5/29/2011 0:00,28,0,89,76,81,51,38,42,13,0,34,58,0,0,34,0,60,0,36,0,0,0,51,36,0,0,37,0,0,0,0,64,60,70,49,0,33,0,0
6/5/2011 0:00,25,0,87,63,88,75,33,23,23,23,0,0,0,0,98,75,35,0,35,0,0,39,0,35,0,0,35,0,0,0,0,59,48,70,37,38,53,52,0
6/12/2011 0:00,37,0,86,73,91,91,20,12,22,23,65,0,0,97,0,50,94,49,0,0,0,78,49,0,49,49,88,52,0,0,0,64,54,84,63,38,48,0,0
6/19/2011 0:00,27,0,88,54,98,90,13,32,18,0,30,25,0,0,30,45,21,0,0,0,0,35,45,0,0,0,32,0,0,0,0,61,31,76,53,0,34,0,0
6/26/2011 0:00,20,0,86,39,100,98,14,21,5,0,0,75,0,0,0,0,21,0,0,0,0,0,0,0,45,0,32,0,0,0,0,55,58,90,69,69,39,0,0
7/3/2011 0:00,69,0,85,50,83,70,24,18,36,36,34,57,0,0,100,50,47,100,36,0,0,39,75,0,50,0,54,0,0,0,0,72,45,76,51,0,97,52,0
7/10/2011 0:00,78,0,90,41,85,73,29,12,58,48,33,71,99,0,34,0,24,50,0,0,0,39,100,53,100,100,36,0,0,0,0,66,52,69,70,38,81,52,0
7/17/2011 0:00,100,0,91,42,91,64,22,30,100,84,33,100,0,0,33,76,36,0,54,0,56,39,50,71,51,51,36,0,0,0,0,55,49,81,46,39,64,0,0
7/24/2011 0:00,55,0,91,42,91,77,29,24,31,36,34,29,100,100,33,51,60,0,36,0,56,40,50,0,51,51,73,0,55,0,0,71,91,79,67,77,59,53,0
7/31/2011 0:00,40,0,88,52,79,43,26,23,5,24,33,28,0,98,33,50,0,0,35,53,0,0,49,0,0,0,71,0,0,0,0,73,20,80,37,76,64,52,0
8/7/2011 0:00,35,1,90,63,83,72,16,17,26,23,32,80,0,0,95,0,45,0,68,51,52,37,47,0,47,0,51,51,52,96,0,73,59,88,56,36,46,50,96
8/14/2011 0:00,43,1,84,66,85,80,23,17,40,22,46,53,0,93,61,0,22,47,33,0,0,0,47,0,0,0,67,0,50,0,0,79,32,95,50,35,55,0,0
8/21/2011 0:00,28,0,87,67,96,78,31,17,28,100,31,40,93,93,31,0,44,47,33,0,52,37,0,33,0,0,67,0,51,0,0,100,100,100,100,36,100,0,0
8/28/2011 0:00,39,1,86,59,83,81,39,11,28,78,47,66,93,0,62,0,44,47,66,50,0,37,47,33,0,0,100,0,100,0,0,86,39,75,47,0,60,0,0
9/4/2011 0:00,30,0,89,63,84,57,49,28,17,34,32,27,0,93,32,48,0,71,34,51,0,37,48,100,0,0,34,0,0,0,0,70,49,68,61,55,56,100,0
9/11/2011 0:00,28,0,98,74,76,61,81,44,38,44,31,53,0,93,0,0,22,47,33,50,0,0,0,32,0,0,33,50,0,0,0,66,29,65,37,53,30,49,93
9/18/2011 0:00,46,0,97,72,90,46,75,39,28,100,62,26,0,93,62,94,0,46,100,50,52,73,0,33,0,47,84,0,0,0,0,67,35,84,32,36,50,0,0
9/25/2011 0:00,36,1,100,53,86,67,82,38,40,76,31,39,0,90,0,0,43,46,49,49,0,36,0,32,0,0,49,50,50,0,0,81,13,63,39,35,64,0,0
10/2/2011 0:00,40,0,90,100,94,62,84,44,24,66,0,26,0,0,0,94,22,46,33,50,0,0,46,33,0,0,50,100,50,0,0,63,29,72,45,36,40,48,0
10/9/2011 0:00,46,0,89,62,95,48,77,38,18,65,45,26,0,90,30,0,43,0,32,48,100,0,0,0,0,0,33,0,0,0,0,72,56,61,53,52,29,47,0
10/16/2011 0:00,34,0,73,60,83,60,74,21,21,75,0,0,0,0,0,0,22,45,64,49,50,0,0,32,0,0,32,0,0,0,0,60,47,57,63,35,44,47,0
10/23/2011 0:00,30,1,66,66,97,72,61,56,11,41,29,25,0,0,0,0,20,0,46,46,0,0,0,30,0,0,62,0,0,0,0,62,56,69,53,100,28,91,0
10/30/2011 0:00,39,0,71,73,88,77,63,46,30,61,57,73,0,0,28,0,0,43,61,68,0,100,85,0,43,0,46,0,0,0,0,59,62,69,69,97,91,0,0
11/6/2011 0:00,32,0,69,45,90,100,57,41,24,21,0,24,0,86,0,43,20,0,30,0,0,0,43,30,0,43,77,0,0,0,0,73,59,63,78,33,42,45,0
11/13/2011 0:00,24,1,64,48,85,64,54,31,13,42,0,25,0,0,58,0,42,0,31,47,0,34,0,0,0,0,63,0,47,0,0,64,36,62,56,50,19,0,0
11/20/2011 0:00,26,1,58,50,86,90,52,58,16,32,0,26,0,0,30,0,42,44,32,0,0,0,0,0,0,0,0,0,48,0,0,58,56,55,55,52,29,0,0
11/27/2011 0:00,24,1,65,44,96,75,60,39,15,40,28,59,0,0,28,0,20,41,0,45,0,0,0,0,0,0,45,45,0,0,0,71,38,71,58,64,27,0,0
12/4/2011 0:00,19,0,62,50,85,86,56,60,17,40,28,35,0,0,28,42,20,0,30,45,0,49,0,0,0,0,45,0,0,0,0,68,49,56,47,96,53,0,0
12/11/2011 0:00,20,1,58,61,74,41,47,54,21,39,0,35,0,0,0,41,20,0,59,44,46,32,0,0,0,0,59,0,0,0,0,53,23,64,44,32,49,0,0
12/18/2011 0:00,21,1,64,57,81,75,46,67,9,0,29,0,0,0,29,0,20,0,62,46,0,34,43,0,0,0,78,0,0,0,0,62,36,63,56,66,46,0,0
12/25/2011 0:00,21,1,64,32,86,60,54,54,9,0,0,25,0,0,0,0,21,0,32,0,0,0,0,31,0,0,64,48,0,91,0,61,31,60,36,35,24,0,91
1/1/2012 0:00,30,0,74,55,89,61,41,34,4,20,0,0,0,0,0,0,0,42,29,44,46,0,41,0,41,0,45,44,0,0,0,73,46,71,49,32,27,0,0
1/1/2012 0:00,49,0,77,86,87,64,46,22,30,0,0,25,0,0,51,0,62,51,0,55,36,0,52,0,100,0,37,66,0,0,0,45,64,56,51,65,91,0,0
1/8/2012 0:00,58,0,72,60,91,70,42,27,28,35,34,95,94,0,48,0,29,48,0,0,34,48,0,0,94,0,0,0,0,0,0,48,34,60,46,53,70,23,94
1/15/2012 0:00,71,0,83,41,96,76,36,24,64,34,100,58,91,0,0,49,29,0,0,50,0,48,0,0,0,0,69,0,49,0,0,55,46,59,49,74,26,0,0
1/22/2012 0:00,40,0,89,93,87,87,32,44,81,33,0,92,0,0,0,48,43,47,50,0,0,47,48,47,0,0,34,0,0,0,0,46,36,63,59,15,57,0,0
1/29/2012 0:00,72,1,96,75,88,65,33,44,99,50,33,23,0,0,0,0,85,0,100,50,0,47,48,0,0,0,45,0,48,0,0,48,35,61,50,29,36,23,0
2/5/2012 0:00,74,0,85,68,80,58,45,38,99,100,33,46,91,0,47,48,43,0,50,100,33,70,48,0,0,0,45,0,0,0,0,37,18,61,59,15,36,45,92
2/12/2012 0:00,47,1,73,71,81,61,52,26,20,36,0,100,0,0,0,52,47,0,0,0,0,52,0,0,0,0,62,0,0,0,0,44,30,56,51,32,45,49,100
2/19/2012 0:00,55,0,87,60,77,53,43,19,59,18,36,25,0,0,77,0,93,0,0,0,36,0,0,0,0,0,62,0,0,0,0,45,39,61,57,16,56,25,0
2/26/2012 0:00,67,0,81,57,87,74,50,29,62,0,33,45,0,49,46,0,56,0,50,0,33,93,0,47,90,0,89,0,47,0,0,52,52,69,71,15,67,22,90
3/11/2012 0:00,84,0,71,51,85,47,57,36,100,42,67,35,92,0,72,0,29,0,0,51,33,48,0,0,92,95,23,61,0,0,0,100,100,100,100,30,100,23,0
3/18/2012 0:00,37,0,73,60,84,49,45,26,36,33,33,23,0,0,0,48,56,93,0,0,0,46,0,47,0,0,34,0,0,0,0,39,68,64,54,36,41,22,0
3/25/2012 0:00,66,1,84,36,95,80,60,34,43,32,32,22,87,0,90,46,41,90,48,0,0,45,0,0,88,0,43,0,0,0,0,35,34,62,56,28,45,0,0
4/1/2012 0:00,61,0,80,71,87,59,41,20,61,0,32,22,0,0,46,0,0,45,0,49,0,0,46,46,89,0,22,0,0,0,0,33,29,57,61,29,25,22,0
4/8/2012 0:00,73,0,85,63,100,83,41,27,56,87,34,36,0,0,49,100,30,0,53,0,0,49,0,49,0,0,47,0,0,0,0,41,42,61,57,15,33,36,0
4/15/2012 0:00,42,1,83,70,85,60,45,30,65,51,34,47,0,0,48,0,59,48,0,0,0,48,0,0,0,0,47,0,0,0,0,41,44,63,58,30,48,0,0
4/22/2012 0:00,61,0,89,71,88,86,36,34,78,16,32,33,0,48,46,47,42,0,73,0,0,46,0,0,0,0,33,0,47,0,0,36,34,70,57,36,20,22,89
4/29/2012 0:00,47,0,85,81,87,99,22,21,64,17,0,47,0,0,47,0,85,47,76,0,34,48,49,48,93,0,23,0,49,0,0,27,15,60,36,30,63,46,93
5/6/2012 0:00,78,0,76,61,79,77,33,23,63,17,33,46,0,0,0,0,71,47,50,0,0,0,96,0,92,0,23,0,0,0,0,32,31,61,36,52,52,23,0
5/13/2012 0:00,72,0,85,51,91,89,20,47,38,0,0,24,0,0,50,0,0,0,0,53,0,50,0,0,0,0,48,0,0,0,0,36,32,69,44,78,22,0,98
5/27/2012 0:00,56,0,88,65,86,60,26,16,39,54,35,25,0,0,50,0,0,0,0,0,0,50,0,0,99,0,0,0,0,0,0,41,33,70,50,39,45,0,0
6/3/2012 0:00,72,0,85,84,89,75,29,16,97,18,35,74,0,54,50,0,31,51,54,0,0,0,0,0,98,0,24,65,0,0,0,38,44,63,54,64,34,0,0
6/17/2012 0:00,80,2,86,96,87,67,23,12,57,0,0,36,0,0,0,0,30,74,0,53,35,0,76,100,0,0,24,0,0,0,0,43,30,93,42,47,61,0,0
6/24/2012 0:00,66,2,81,63,84,87,19,6,84,17,34,24,95,0,48,51,29,48,52,0,0,0,0,0,0,0,59,0,100,0,0,43,37,72,42,23,49,0,0
7/1/2012 0:00,60,2,76,47,90,51,16,13,50,18,36,38,100,55,51,0,31,0,0,0,0,0,53,0,0,0,75,0,0,0,0,36,42,61,49,32,34,100,0
7/8/2012 0:00,60,2,81,66,95,75,16,6,64,0,0,0,0,0,95,49,29,0,0,0,0,47,48,0,92,94,69,0,0,0,0,44,41,72,59,45,32,0,0
7/22/2012 0:00,68,2,83,56,85,57,21,22,86,35,70,49,97,0,100,0,31,100,0,0,0,0,51,0,98,100,73,0,0,0,0,51,35,56,56,31,55,36,0
8/5/2012 0:00,61,2,70,48,82,71,20,9,28,18,0,36,0,0,50,0,60,0,0,0,0,49,50,0,0,0,48,64,0,0,0,45,56,76,60,31,77,48,0
8/12/2012 0:00,73,2,79,46,90,59,25,12,91,17,0,23,93,100,0,0,43,0,0,0,100,47,0,0,0,0,80,62,0,0,0,48,57,87,68,30,37,0,0
8/19/2012 0:00,64,1,91,62,88,53,23,23,36,17,33,46,0,0,47,0,28,0,0,0,0,47,96,0,92,0,45,0,0,0,0,58,43,76,58,22,36,23,0
8/26/2012 0:00,50,1,86,73,83,74,31,14,35,32,32,22,0,0,45,0,41,0,0,0,0,45,0,0,0,0,55,58,0,0,0,51,59,76,79,35,55,22,0
9/2/2012 0:00,53,1,82,62,77,64,34,21,55,51,34,23,0,0,48,49,44,0,51,0,0,0,0,0,94,0,46,0,0,0,0,59,49,71,73,30,32,0,0
9/9/2012 0:00,57,1,80,64,91,59,46,21,55,15,58,30,80,0,83,42,100,0,0,0,0,0,0,0,0,0,50,0,43,0,0,35,38,69,50,26,14,59,0
9/16/2012 0:00,31,1,79,62,88,60,49,10,69,14,0,20,0,0,0,0,24,0,43,0,28,0,0,0,78,0,19,0,41,0,0,35,47,68,46,38,40,39,0
9/23/2012 0:00,49,2,100,94,90,79,59,17,60,21,0,29,0,41,0,0,0,58,42,41,0,0,0,0,0,0,56,100,40,0,0,41,48,76,58,24,26,28,0
10/7/2012 0:00,53,1,90,47,83,57,68,44,34,16,0,32,0,46,0,45,40,44,0,0,31,0,0,0,86,0,43,57,0,0,0,49,48,74,59,76,78,0,0
10/14/2012 0:00,38,2,87,85,79,59,68,20,70,0,32,33,0,0,0,93,0,0,0,0,0,0,93,0,0,0,66,0,0,0,0,43,64,84,69,64,30,33,0
10/21/2012 0:00,38,2,85,67,84,76,53,47,51,16,0,44,0,0,0,0,54,0,0,0,0,44,0,0,87,0,54,0,0,0,0,46,48,65,46,42,35,22,0
10/28/2012 0:00,52,2,82,93,64,56,58,25,52,16,0,55,88,96,45,0,55,0,49,49,0,45,47,0,0,0,55,0,0,0,91,43,61,64,59,64,50,22,0
11/4/2012 0:00,74,2,82,41,75,42,61,33,68,0,0,22,0,0,0,0,0,0,0,0,32,0,0,0,0,0,43,0,0,0,0,45,50,68,62,77,44,21,0
11/11/2012 0:00,45,2,78,67,78,51,65,42,51,24,31,0,0,0,67,0,0,0,0,0,0,44,46,0,0,0,65,0,0,0,0,48,22,67,80,35,35,0,0
11/18/2012 0:00,57,2,71,77,66,51,51,53,60,16,0,22,0,0,45,47,54,45,48,0,0,0,0,45,0,0,65,0,0,0,0,38,44,62,72,35,70,33,0
11/25/2012 0:00,51,1,75,42,76,68,61,36,48,15,0,20,0,0,41,42,25,0,44,44,0,0,0,0,81,0,40,0,0,0,84,38,61,65,73,26,28,20,0
12/2/2012 0:00,51,1,74,49,89,56,79,36,24,14,0,20,0,0,0,0,25,81,0,0,0,0,0,0,0,0,100,0,0,0,0,52,60,68,54,13,64,0,0
12/9/2012 0:00,42,1,68,58,75,60,65,29,32,0,0,41,0,0,0,43,38,41,0,44,29,42,0,0,0,0,40,0,0,0,84,40,34,62,67,32,32,0,0
12/16/2012 0:00,56,1,66,53,67,34,69,49,17,15,30,42,0,0,43,0,26,0,0,0,61,0,44,44,0,0,52,0,44,0,0,41,46,64,64,27,43,0,0
12/23/2012 0:00,38,0,67,38,78,51,81,100,27,17,0,23,0,0,0,0,28,0,0,0,0,0,0,47,0,0,46,0,0,0,0,45,40,63,55,37,52,0,0
1/27/2013 0:00,59,0,91,46,84,88,33,34,34,0,34,65,0,0,34,50,65,40,0,0,76,38,69,0,0,0,65,0,0,0,0,69,34,60,60,16,46,33,0
2/3/2013 0:00,50,0,87,67,86,70,27,37,43,24,32,49,0,89,32,47,37,38,80,47,35,72,33,0,0,0,31,0,0,0,0,57,29,58,62,10,43,0,0
2/17/2013 0:00,45,0,80,84,82,58,17,20,40,39,0,0,0,0,34,0,52,0,0,0,0,38,0,0,0,0,22,0,0,0,0,62,36,52,38,80,42,33,0
2/24/2013 0:00,35,0,82,67,71,75,13,23,23,53,0,52,0,0,0,0,26,0,43,50,0,0,35,0,0,0,55,0,0,0,0,60,31,59,54,43,25,34,0
